Category: All categories

Month,electric car: (United States)
2010-12,15
2011-01,20
2011-02,18
2011-03,20
2011-04,24
2011-05,21
2011-06,15
2011-07,14
2011-08,13
2011-09,16
2011-10,21
2011-11,21
2011-12,17
2012-01,17
2012-02,18
2012-03,22
2012-04,20
2012-05,17
2012-06,15
2012-07,15
2012-08,13
2012-09,16
2012-10,16
2012-11,16
2012-12,14
2013-01,13
2013-02,15
2013-03,15
2013-04,15
2013-05,19
2013-06,16
2013-07,17
2013-08,19
2013-09,18
2013-10,17
2013-11,18
2013-12,17
2014-01,16
2014-02,18
2014-03,18
2014-04,18
2014-05,19
2014-06,18
2014-07,19
2014-08,17
2014-09,18
2014-10,17
2014-11,17
2014-12,17
2015-01,15
2015-02,18
2015-03,17
2015-04,17
2015-05,18
2015-06,16
2015-07,17
2015-08,16
2015-09,19
2015-10,18
2015-11,20
2015-12,17
2016-01,16
2016-02,16
2016-03,16
2016-04,20
2016-05,17
2016-06,15
2016-07,15
2016-08,15
2016-09,16
2016-10,16
2016-11,18
2016-12,19
2017-01,17
2017-02,17
2017-03,17
2017-04,18
2017-05,18
2017-06,18
2017-07,22
2017-08,20
2017-09,22
2017-10,21
2017-11,24
2017-12,24
2018-01,20
2018-02,20
2018-03,20
2018-04,21
2018-05,22
2018-06,21
2018-07,22
2018-08,22
2018-09,25
2018-10,23
2018-11,24
2018-12,25
2019-01,22
2019-02,24
2019-03,26
2019-04,28
2019-05,29
2019-06,27
2019-07,27
2019-08,26
2019-09,30
2019-10,26
2019-11,32
2019-12,28
2020-01,27
2020-02,28
2020-03,19
2020-04,18
2020-05,21
2020-06,23
2020-07,28
2020-08,26
2020-09,30
2020-10,32
2020-11,32
2020-12,33
2021-01,37
2021-02,44
2021-03,39
2021-04,45
2021-05,48
2021-06,53
2021-07,48
2021-08,43
2021-09,43
2021-10,45
2021-11,64
2021-12,48
2022-01,49
2022-02,61
2022-03,100
2022-04,72
2022-05,64
2022-06,80
2022-07,70
2022-08,72
2022-09,61
2022-10,54
2022-11,46
2022-12,48
2023-01,50
2023-02,51
2023-03,46
2023-04,49
2023-05,47
2023-06,47
2023-07,48
2023-08,46
2023-09,46
2023-10,46
2023-11,44
2023-12,44
2024-01,42
2024-02,41
2024-03,41
2024-04,44
2024-05,43
2024-06,41
2024-07,39
2024-08,39
2024-09,38
2024-10,38
2024-11,38
2024-12,40
2025-01,37
2025-02,39
2025-03,45
2025-04,55
2025-05,41
2025-06,40
2025-07,50
2025-08,44
2025-09,41
2025-10,36
2025-11,42
2025-12,46
2026-01,44
2026-02,53
